,Analytics Desc,English,Hiragana,Kanji,Vocab Set,Example
,,adverb,ふくし,副詞,N2,
,,"symbol,code",きごう,記号,N2,
,,"moisture,humidity,dampness",しっき,湿気,N2,
,,"to obtain,to reap,to pay,to supply,to accept",おさめる,納める,N2,
,,"to ridicule,to tease,to banter with,to make fun of",からかう,,N2,
,,ticket window,まどぐち,窓口,N2,
,,acceleration,かそく,加速,N2,
,,pepper,こしょう,胡椒,N2,
,,"weak point,weakness",じゃくてん,弱点,N2,
,,"to be blocked,to be packed",つまる,詰まる,N2,
,,currency,つうか,通貨,N2,
,,"honorific,term of respect",けいご,敬語,N2,
,,"calamity,misfortune",さいなん,災難,N2,
,,"to flood,to overflow,to brim over",あふれる,,N2,
,,"to curse,to feel bitter",うらむ,恨む,N2,
,,"assumption,supposition,hypothesis",かてい,仮定,N2,
,,training,トレーニング,,N2,
,,"tire,tyre",タイア,,N2,
,,"(1) dear,beloved,darling,(2) yearned for",こいしい,恋しい,N2,
,,"(col) round trip,coming and going,return ticket",おうふく,往復,N2,
,,"negligence,unpreparedness",ゆだん,油断,N2,
,,"How do you do?,I am glad to meet you",はじめまして,,N2,
,,"meaning,significance",いぎ,意義,N2,
,,"vertical,perpendicular",すいちょく,垂直,N2,
,,sneeze,くしゃみ,,N2,
,,"regrettable,mortifying,vexing",くやしい,悔しい,N2,
,,"surname,family name",せい,姓,N2,
,,"biography,life story",でんき,伝記,N2,
,,"descendants,posterity,offspring",しそん,子孫,N2,
,,"print,handout",プリント,,N2,
,,"malicious,ill-tempered,unkind",いじわる,意地悪,N2,
,,"myth,legend",しんわ,神話,N2,
,,immediately following,ちょくご,直後,N2,
,,"dwelling,house,residence,address",すまい,住まい,N2,
,,"sea bathing,seawater bath",かいすいよく,海水浴,N2,
,,"opportunity,occasion",ついで,,N2,
,,"altitude,height,advanced",こうど,高度,N2,
,,"to raise,to fly",あげる,挙げる,N2,
,,soy sauce,しょうゆ,醤油,N2,
,,"to comfort,to console",なぐさめる,慰める,N2,
,,"to take out,to produce,to pick out",とりだす,取り出す,N2,
,,leaving hospital,たいいん,退院,N2,
,,straight line,ちょくせん,直線,N2,
,,"suspicious,dubious,doubtful",あやしい,怪しい,N2,
,,"youth,young person",せいしょうねん,青少年,N2,
,,(abbr) alarm-clock,めざまし,目覚し,N2,
,,"underline,underscore",かせん,下線,N2,
,,outward appearance,みかけ,見掛け,N2,
,,"to wither,to die (plant),to be blasted (plant)",かれる,枯れる,N2,
,,good weather,かいせい,快晴,N2,
,,chopsticks,はし,箸,N2,
,,"impressions,thoughts",かんそう,感想,N2,
,,end of the month,げつまつ,月末,N2,
,,"deduction,subtraction,balance,ebb and flow,rise and fall",さしひき,差し引き,N2,
,,"to wet,to soak,to dip",ぬらす,濡らす,N2,
,,"to exchange,to interchange,to substitute,to replace",かえる,代える,N2,
,,"perhaps,maybe,by some chance",もしかすると,,N2,
,,(car) wheel,しゃりん,車輪,N2,
,,"bell,chime",かね,鐘,N2,
,,"develop,expansion (opposite of compression)",てんかい,展開,N2,
,,water outage,だんすい,断水,N2,
,,"to scatter around,to leave untidy",ちらかす,散らかす,N2,
,,to starve,うえる,飢える,N2,
,,"store,shop",みせや,店屋,N2,
,,"lump,mass,clod,cluster",かたまり,塊,N2,
,,(train) conductor,しゃしょう,車掌,N2,
,,"answer,solution",かいとう,解答,N2,
,,superstition,めいしん,迷信,N2,
,,"failure,dropping out of a class",らくだい,落第,N2,
,,somewhat,いくぶん,幾分,N2,
,,"judge,judiciary",はんじ,判事,N2,
,,"to sniff,to smell",かぐ,嗅ぐ,N2,
,,upper,こうそう,高層,N2,
,,recreation,レクリェーション,,N2,
,,minus,マイナス,,N2,
,,"to air,to dry,to desiccate,to drain (off),to drink up",ほす,干す,N2,
,,"(1) connection,union,join,link,(2) changing trains",せつぞく,接続,N2,
,,electric power,でんりょく,電力,N2,
,,"gathering,assembly,meeting,set (math)",しゅうごう,集合,N2,
,,"contents,interior,substance,filling,(sword) blade",なかみ,中味,N2,
,,"to disturb,to prevent",さまたげる,妨げる,N2,
,,"drainage,sewage,ditch,gutter,sewerage",げすい,下水,N2,
,,"to rank next to,to come after",つぐ,次ぐ,N2,
,,failure of electricity,ていでん,停電,N2,
,,"four corners,crossroads",よつかど,四つ角,N2,
,,"dangerous,critical,grave",あやうい,危うい,N2,
,,clean copy,せいしょ,清書,N2,
,,year before last,おととし,,N2,
,,"opening,open",かいつう,開通,N2,
,,"to pass by one another,to disagree",すれちがう,,N2,
,,"collar,color,colour",カラー,,N2,
,,"breakup,dissolution",かいさん,解散,N2,
,,sunset,ひのいり,日の入り,N2,
,,"discussion,conference",はなしあい,話合い,N2,
,,"to start talking,to speak,to tell,to propose,to suggest,to break the ice",いいだす,言い出す,N2,
,,"again and again,repeatedly",さいさん,再三,N2,
,,equation,ほうていしき,方程式,N2,
,,"to scatter,to sprinkle,to sow",まく,撒く,N2,
,,"tax exemption,duty exemption",めんぜい,免税,N2,
,,probability,かくりつ,確率,N2,
,,"scholarship,knowledge,literary ability",がくりょく,学力,N2,
,,(hand) towel,てぬぐい,手拭い,N2,
,,"downward,descent,fall,drop,subsidence",かこう,下降,N2,
,,"(1) remodeling,(2) modding (comp)",かいぞう,改造,N2,
,,electric current,でんりゅう,電流,N2,
,,"principle,theory,fundamental truth",げんり,原理,N2,
,,tail (animal),しっぽ,,N2,
,,"to tear,to split",さく,裂く,N2,
,,social science,しゃかいかがく,社会科学,N2,
,,"to make,to manufacture",こしらえる,,N2,
,,"to deepen,to heighten,to intensify",ふかまる,深まる,N2,
,,"reconciliation,make peace with",なかなおり,仲直り,N2,
,,"busy,hurried,confused,flurried",あわただしい,,N2,
,,"disappointed love,broken heart,unrequited love,be lovelorn",しつれん,失恋,N2,
,,agricultural produce,のうさんぶつ,農産物,N2,
,,"concentration,brightness",のうど,濃度,N2,
,,"fat,tallow,lard",あぶら,脂,N2,
,,razor,かみそり,剃刀,N2,
,,to dissolve (paint),とく,溶く,N2,
,,Thank you very much for your....,ごくろうさま,,N2,
,,infinite,むげん,無限,N2,
,,"to whisper,to murmur",ささやく,囁く,N2,
,,taking an examination,じゅけん,受験,N2,
,,"aid,assistance,help,reinforcement",おうえん,応援,N2,
,,"(1) idea,notion,conception,(2) sense (e.g. of duty)",かんねん,観念,N2,
,,"to be wet,to become wet,to be damp",しめる,湿る,N2,
,,rainbow,にじ,虹,N2,
,,"beam,light ray",こうせん,光線,N2,
,,"loss and gain,advantage and disadvantage",そんとく,損得,N2,
,,excuse,こうじつ,口実,N2,
,,subtraction,ひきざん,引算,N2,
,,double,ダブル,,N2,
,,contagion,でんせん,伝染,N2,
,,"steam,vapour",ゆげ,湯気,N2,
,,"to be blessed with,to be rich in",めぐまれる,恵まれる,N2,
,,"(hum) (pol) seeing,look at",はいけん,拝見,N2,
,,"ceremony,rite,ritual,service",ぎしき,儀式,N2,
,,"to argue,to discuss,to debate",ろんずる,論ずる,N2,
,,Japanese clothes,わふく,和服,N2,
,,(measuring) ruler,じょうぎ,定規,N2,
,,"dull (e.g. a knife),thickheaded,slow (opposite of fast),stupid",のろい,鈍い,N2,
,,the Japanese syllabary,ごじゅうおん,五十音,N2,
,,journalist,ジャーナリスト,,N2,
,,"writer,author",ひっしゃ,筆者,N2,
,,"difference,discrepancy,variation",そうい,相違,N2,
,,"salary man,company employee",サラリーマン,,N2,
,,government official,やくにん,役人,N2,
,,eruption,ふんか,噴火,N2,
,,bonus,ボーナス,,N2,
,,"to be engulfed in,to be enveloped by,to wrap up",くるむ,,N2,
,,sliding screen,ふすま,襖,N2,
,,"(1) to serve (food, etc.),(2) to fill up,(3) to prescribe",もる,盛る,N2,
,,"to be piled up,lie on top of one another,overlap each other",かさなる,重なる,N2,
,,"in addition,furthermore",そのうえ,,N2,
,,large tree,たいぼく,大木,N2,
,,"surname,family name",みょうじ,名字,N2,
,,"prevention,check",ぼうし,防止,N2,
,,"to stumble,to trip",つまずく,,N2,
,,"derailment,digression",だっせん,脱線,N2,
,,funeral,そうしき,葬式,N2,
,,"keenly,deeply,heartily",しみじみ,,N2,
,,"very much,exaggerated,very fine",たいそう,大層,N2,
,,birth date,せいねんがっぴ,生年月日,N2,
,,"to assemble,to set up,to construct",くみたてる,組み立てる,N2,
,,ancestor,せんぞ,先祖,N2,
,,rush hour,ラッシュアワー,,N2,
,,"to shoulder,to carry on shoulder",かつぐ,担ぐ,N2,
,,speed,そくりょく,速力,N2,
,,picture book,ずかん,図鑑,N2,
,,"to bend,to crook,to lean",まげる,曲げる,N2,
,,"trading company,firm",しょうしゃ,商社,N2,
,,assistant professor,じょきょうじゅ,助教授,N2,
,,"to worship,to beg,to make a supplication",おがむ,拝む,N2,
,,"to be dented,to be indented,to yield to,to give,to sink,to collapse,to cave in,to be snubbed",へこむ,凹む,N2,
,,"to leave,to get free,to cut oneself off",はなれる,放れる,N2,
,,grain,つぶ,粒,N2,
,,magnet,じしゃく,磁石,N2,
,,"odious,hateful",にくらしい,憎らしい,N2,
,,"overbearing,coercive,pushy,forcible,high-handed",ごういん,強引,N2,
,,lipstick,くちべに,口紅,N2,
,,comb,くし,櫛,N2,
,,"meeting hall,assembly hall",かいかん,会館,N2,
,,"irregularity,unsteadiness,disorderly",ふきそく,不規則,N2,
,,"grey,gray,ashen",はいいろ,灰色,N2,
,,"direction,district,field (e.g., of study)",ほうめん,方面,N2,
,,"chart,diagram,graph",ずひょう,図表,N2,
,,"to jump,to fly,to leap",とぶ,跳ぶ,N2,
,,"to be caught in,to be stuck in,to be cheated",ひっかかる,引っ掛かる,N2,
,,"eastern half of Japan, including Tokyo",かんとう,関東,N2,
,,"express,special delivery",そくたつ,速達,N2,
,,"ruler,measure",ものさし,物差し,N2,
,,"to command,to appoint",めいずる,命ずる,N2,
,,exceptional,かくべつ,格別,N2,
,,"to be mixed,to be blended with,to associate with,to mingle with,to join",まざる,混ざる,N2,
,,"(1) to be fixed,(2) to abide,to stay (in the one place)",とどまる,留まる,N2,
,,self-defense,じえい,自衛,N2,
,,tempo,テンポ,,N2,
,,process,かてい,過程,N2,
,,"to measure,to weigh,to survey",はかる,測る,N2,
,,"(n) (a) joy,(a) delight,rapture,pleasure,gratification,rejoicing,congratulations,felicitations",よろこび,慶び,N2,
,,column of text (e.g. as in a newspaper),らん,欄,N2,
,,"positive,affirmation",こうてい,肯定,N2,
,,"container,case,receptacle",いれもの,入れ物,N2,
,,"dim,gloomy",うすぐらい,薄暗い,N2,
,,"rough copy,draft",したがき,下書き,N2,
,,May I come in?,ごめんください,,N2,
,,sorry (phrase),すまない,,N2,
,,exception,れいがい,例外,N2,
,,"to be burdened with,to carry on back or shoulder",せおう,背負う,N2,
,,"heading,caption,subtitle,index",みだし,見出し,N2,
,,"to be resurrected,to be revived,to be resuscitated,to be rehabilitated",よみがえる,蘇る,N2,
,,"to shout,to yell",どなる,,N2,
,,"to associate with,to keep company with,to get on with",つきあう,付合う,N2,
,,"number of times,frequency",かいすう,回数,N2,
,,"to be tied together,to be connected to,to be related to",つながる,繋がる,N2,
,,"to romp,to gambol,to frolic,to joke",ふざける,,N2,
,,radius,はんけい,半径,N2,
,,"to become numb,to go to sleep (i.e., a limb)",しびれる,,N2,
,,"impertinent,saucy,cheeky,conceit,audacious,brazen",なまいき,生意気,N2,
,,"to compare,to liken,to speak figuratively,to illustrate,to use a simile",たとえる,例える,N2,
,,"to feel,to sense",かんずる,感ずる,N2,
,,season (sporting),シーズン,,N2,
,,"vapour,gas",きたい,気体,N2,
,,water fountain,ふんすい,噴水,N2,
,,"passage,pathway",つうろ,通路,N2,
,,"to freeze,to be chilled,to be frozen",こごえる,凍える,N2,
,,"notice,notification",つうち,通知,N2,
,,"addition,supplement,appendix",ついか,追加,N2,
,,figure,ずけい,図形,N2,
,,which reminds me ..,そういえば,,N2,
,,"popular use,circulation",つうよう,通用,N2,
,,"pure heart,naivete,self-sacrificing devotion",じゅんじょう,純情,N2,
,,youngest child,すえっこ,末っ子,N2,
,,(member of) political party,せいとう,政党,N2,
,,"to shine on,to illuminate",てらす,照らす,N2,
,,"railway crossing,level crossing,starting line,scratch,crossover",ふみきり,踏切,N2,
,,"marking,grading,looking over",さいてん,採点,N2,
,,singular (number),たんすう,単数,N2,
,,ocean,かいよう,海洋,N2,
,,to take (be in) charge of,うけもつ,受け持つ,N2,
,,"application,request,petition",しんせい,申請,N2,
,,"attached,belonging,affiliated",ふぞく,附属,N2,
,,"a soliloquy,a monologue,speaking to oneself",ひとりごと,独り言,N2,
,,"here and there,little by little",てんてん,点々,N2,
,,"fresh,refreshing,invigorating",さわやか,,N2,
,,"at once,in a moment,suddenly,all at once",たちまち,,N2,
,,middle finger,なかゆび,中指,N2,
,,rhythm,リズム,,N2,
,,"work (film, book)",せいさく,制作,N2,
,,"insistent,obstinate",しつこい,,N2,
,,"to ask,to request",こう,請う,N2,
,,"confrontation,opposition,antagonism",たいりつ,Ͼ立,N2,
,,room to let,かしま,貸間,N2,
,,"stealthily,secretly",こっそり,,N2,
,,"attitude,posture",しせい,姿勢,N2,
,,"to apply,to adapt",あてはめる,,N2,
,,"editorial,leading article",しゃせつ,社説,N2,
,,"to concern oneself in,to have to do with,to affect,to influence,to stick to (opinions)",かかわる,係わる,N2,
,,"adjectival noun,quasi-adjective",けいようどうし,形容動詞,N2,
,,"department of a university,undergraduate",がくぶ,学部,N2,
,,"leading part,leading actor (actress)",しゅやく,主役,N2,
,,"to appear (in print),to be recorded",のる,載る,N2,
,,"example,specimen",ひょうほん,標本,N2,
,,"successively,one after another",ぞくぞく,続々,N2,
,,evening paper,ゆうかん,夕刊,N2,
,,sliced raw fish,さしみ,刺身,N2,
,,"lumber,timber,wood",もくざい,木材,N2,
,,"head,brains,intellect",ずのう,頭脳,N2,
,,"regulation,adjustment,tuning",ちょうせい,調整,N2,
,,(enrolled) in school,ざいがく,在学,N2,
,,"(1) to see off,to farewell,(2) to escort,(3) to let pass",みおくる,見送る,N2,
,,"to mix,to stir",まぜる,混ぜる,N2,
,,construction work,こうじ,工事,N2,
,,"excess,over-",かじょう,過剰,N2,
,,"another time,again,over again,anew,formally",あらためて,改めて,N2,
,,"navy blue,deep blue",こん,紺,N2,
,,underwear,はだぎ,肌着,N2,
,,"noisy,boisterous",そうぞうしい,騒々しい,N2,
,,"director,high executive",じゅうやく,重役,N2,
,,pistol,ピストル,,N2,
,,"designation,specification,assignment,pointing at",してい,指定,N2,
,,"envious,enviable",うらやましい,羨ましい,N2,
,,peninsula,はんとう,半島,N2,
,,"system,organization",たいけい,体系,N2,
,,"extreme,excessive,terrible",はなはだしい,甚だしい,N2,
,,an individual,こたい,個体,N2,
,,"man-made,synthetic,artificial",じんぞう,人造,N2,
,,"tissue paper,toilet paper",ちりがみ,塵紙,N2,
,,"at once,immediately,without delay,promptly",さっそく,早速,N2,
,,"water level,horizon",すいへい,水平,N2,
,,"after this,from now on,hereafter,thereafter",いご,以後,N2,
,,"unclean,dirty,filthy,impure",ふけつ,不潔,N2,
,,blouse,ブラウス,,N2,
,,"to rub,to crumple (up),to wrinkle",もむ,揉む,N2,
,,"pharmacy,drugstore",やっきょく,薬局,N2,
,,"writing down,putting on record,recording,making a note of,registration (of mail)",かきとめ,書留,N2,
,,lava,ようがん,溶岩,N2,
,,"fingernail or toenail,claw,talon,hoof",つめ,爪,N2,
,,"(1) cook (nl:),(2) tap,spigot,faucet,cock",コック,,N2,
,,table of contents,もくじ,目次,N2,
,,"avarice,covetousness,greed",よくばり,欲張り,N2,
,,series,シリーズ,,N2,
,,"each,every,either,respectively,severally",おのおの,各々,N2,
,,"waste,scrap",くず,屑,N2,
,,"to show respect,to honour",うやまう,敬う,N2,
,,"exhibition,demonstration,utilization,display",はっき,発揮,N2,
,,"important point,lay stress on,colon,emphasis",じゅうてん,重点,N2,
,,noun,めいし,名詞,N2,
,,item,こうもく,項目,N2,
,,to become confused,あわてる,,N2,
,,"to be mixed,to be blended with,to associate with",まじる,混じる,N2,
,,skin,ひふ,皮膚,N2,
,,"firm,strong",つよき,強気,N2,
,,"to go back,to go upstream,to make retroactive",さかのぼる,遡る,N2,
,,"order,system,structure,set-up,organization",たいせい,体制,N2,
,,"to meet,to greet",でむかえる,出迎える,N2,
,,"sour,acid",すっぱい,,N2,
,,"happy,simple soul,propitious,joyous",めでたい,,N2,
,,"timetable,schedule",じかんわり,時間割,N2,
,,"line,track,roadbed",せんろ,線路,N2,
,,"to stray (turn) from subject,to get lost,to go astray",それる,逸れる,N2,
,,"storage,preservation",ちょぞう,貯蔵,N2,
,,"shameful,indecent",みっともない,,N2,
,,grade school student,しょうがくせい,小学生,N2,
,,raincoat,レインコート,,N2,
,,"bamboo,middle (of a three-tier ranking system)",たけ,竹,N2,
,,"bandage,dressing",ほうたい,包帯,N2,
,,short term,たんき,短期,N2,
,,"stopper,cork,stopcock",せん,栓,N2,
,,"gloss,glaze",つや,艶,N2,
,,"to wither,to fade (away),to shrivel,to wilt",しぼむ,,N2,
,,decoration,かざり,飾り,N2,
,,"coolness,calmness,composure,unconcern",へいき,平気,N2,
,,to be(come) transparent,すきとおる,透き通る,N2,
,,"to search,to look for,to sound out",さぐる,探る,N2,
,,two days before yesterday,さきおととい,,N2,
,,"modesty,humility",けんきょ,謙虚,N2,
,,"complaint,troubles,objection",くじょう,苦情,N2,
,,to shut up,しめきる,締め切る,N2,
,,"sudden,abrupt,unexpected,improvised,offhand",にわか,俄,N2,
,,to squat,しゃがむ,,N2,
,,"carving,engraving,sculpture",ちょうこく,彫刻,N2,
,,"manufacture,production",せいさく,製作,N2,
,,"drum,tambourine",たいこ,太鼓,N2,
,,"dull (e.g. a knife),thickheaded,slow (opposite of fast),stupid",にぶい,鈍い,N2,
,,mosquito,か,蚊,N2,
,,"the foot,the bottom,the base (of a mountain)",ふもと,麓,N2,
,,measurement,そくてい,測定,N2,
,,"(1) line,procession,(2) matrix (math)",ぎょうれつ,行列,N2,
,,nationality,こくせき,国籍,N2,
,,national holiday,しゅくじつ,祝日,N2,
,,sale,はつばい,発売,N2,
,,"oil,engine oil,kerosene",オイル,,N2,
,,"backdoor,rear entrance",うらぐち,裏口,N2,
,,"to draw near,to press",せまる,迫る,N2,
,,"to dilute,to water down",うすめる,薄める,N2,
,,"impudent,shameless,brazen",あつかましい,厚かましい,N2,
,,"Europe and America,the West",おうべい,欧米,N2,
,,month before last,せんせんげつ,先々月,N2,
,,"head,lead,vanguard,first",せんとう,先頭,N2,
,,"to be saved,to be rescued,to survive,to be helpful",たすかる,助かる,N2,
,,"to roll,to tumble",ころがる,転がる,N2,
,,"milli-,10^-3",（メートル）,ミリ,N2,
,,"to lose someone, wife, child, etc",なくす,亡くす,N2,
,,underground water,ちかすい,地下水,N2,
,,"to cool oneself,to cool off,to enjoy evening cool",すずむ,涼む,N2,
,,"holiday house,villa",べっそう,別荘,N2,
,,"character,qualities,genius",そしつ,素質,N2,
,,division (math),わりざん,割算,N2,
,,atmospheric pressure,きあつ,気圧,N2,
,,gang,ギャング,,N2,
,,"to amass,to accumulate",ためる,溜める,N2,
,,"clear,pure,noble",きよい,清い,N2,
,,plastic,プラスチック,,N2,
,,temple,じいん,寺院,N2,
,,tableware,しょっき,食器,N2,
,,"hindrance,impediment",さしつかえ,差し支え,N2,
,,"fur,skin,pelt",けがわ,毛皮,N2,
,,quickly,さっさと,,N2,
,,"children,juvenile",じどう,児童,N2,
,,(1) (Japanese) maple,こうよう,紅葉,N2,
,,fisherman,りょうし,漁師,N2,
,,kindergarten,ようちえん,幼稚園,N2,
,,"to put in order,to dispose of,to solve",かたづく,片付く,N2,
,,"expansion,extension,enlargement,escape (ESC)",かくちょう,拡張,N2,
,,wire,はりがね,針金,N2,
,,balloon,ふうせん,風船,N2,
,,"to depart (on a plane, train, etc.)",たつ,発つ,N2,
,,pleased to meet you,どうぞよろしく,,N2,
,,"capacity,volume",ようせき,容積,N2,
,,"likes and dislikes,taste",すききらい,好き嫌い,N2,
,,"seat,bench",こしかけ,腰掛け,N2,
,,"and,like that",そうして,,N2,
,,"vividly,lively",いきいき,生き生き,N2,
,,"criterion,aim",めやす,目安,N2,
,,"be lost,peace,hide,mistake,beautiful,in turn",いつ,佚,N2,
,,"sign,mark,symbol",ふごう,符号,N2,
,,"earthenware,crockery,china",せともの,瀬戸物,N2,
,,hydrogen,すいそ,水素,N2,
,,dictation,かきとり,書取,N2,
,,basin (e.g. between mountains),ぼんち,盆地,N2,
,,"advanced level,high grade,senior",じょうきゅう,上級,N2,
,,"repair,mending",しゅうぜん,修繕,N2,
,,Koto (Japanese harp),こと,琴,N2,
,,"about,roughly,as a rule,approximately",おおよそ,大凡,N2,
,,"receiving,dealing with",おうたい,応対,N2,
,,even number,ぐうすう,偶数,N2,
,,cross,こうさ,交差,N2,
,,"to be proud,to swagger",いばる,威張る,N2,
,,pen,ぺん,,N2,
,,"new moon,crescent moon",みかづき,三日月,N2,
,,waterfall,たき,滝,N2,
,,(abbr) Good morning,おはよう,,N2,
,,"to hate,to detest",にくむ,憎む,N2,
,,waitress,ウエートレス,,N2,
,,interpretation,つうやく,通訳,N2,
,,"(taking) notes,copying",ひっき,筆記,N2,
,,entry (on stage),とうじょう,登場,N2,
,,"necessities of life (food, clothing, etc.)",いしょくじゅう,衣食住,N2,
,,natural science,しぜんかがく,自然科学,N2,
,,"medicine(s),chemical(s)",やくひん,薬品,N2,
,,"strict,rigour,severe,firm",げんじゅう,厳重,N2,
,,prefectural office,けんちょう,県庁,N2,
,,shop which handles Western-style apparel and accessories,ようひんてん,洋品店,N2,
,,"heavy,massive,serious",おもたい,重たい,N2,
,,"to be mixed,to be blended with",まぜる,交ぜる,N2,
,,"more and more,all the more,increasingly,at last,beyond doubt",いよいよ,,N2,
,,"one by one,separately",いちいち,,N2,
,,"reassuring,emboldened",ちからづよい,力強い,N2,
,,"to mince,to carve,to engrave",きざむ,刻む,N2,
,,"to remain,to be left over,to be in excess,to be too many",あまる,余る,N2,
,,division into equal parts,とうぶん,等分,N2,
,,"foundation,basis",きそ,基礎,N2,
,,"careless,thoughtless",そそっかしい,,N2,
,,motor,モーター,,N2,
,,"to bring near,to put close,to let come near,to associate with",ちかづける,近付ける,N2,
,,"soldier,sailor",へいたい,兵隊,N2,
,,(hum) to know,ぞんじる,存じる,N2,
,,"standard,basis,criteria,norm",きじゅん,基準,N2,
,,"garden shrubs,trees,potted plant",うえき,植木,N2,
,,"sly,cunning",ずるい,狡い,N2,
,,arithmetic,さんすう,算数,N2,
,,"daily lesson,daily work,daily routine",にっか,日課,N2,
,,"dazzling,radiant",まぶしい,,N2,
,,"room,time to spare,emptiness",あき,明き,N2,
,,late at night,しんや,深夜,N2,
,,shuttlecock,はね,羽根,N2,
,,"before,this side,we,you",てまえ,手前,N2,
,,geological features,ちしつ,地質,N2,
,,to be thirsty,かわく,渇く,N2,
,,"to place on (something),to take on board,to give a ride",のせる,載せる,N2,
,,"(in) the evening sun,setting sun",ゆうひ,夕日,N2,
,,junior (at work or school),こうはい,後輩,N2,
,,son (of others),ぼっちゃん,坊っちゃん,N2,
,,"to repay,to pay back",はらいもどす,払い戻す,N2,
,,"(n) alias,pseudonym,pen name",かな,仮名,N2,
,,"on the contrary,rather,all the more,instead",かえって,却って,N2,
,,"simultaneous,all at once",いっせい,一斉,N2,
,,"toilet,lavatory,rest room,latrine,comfort station",べんじょ,便所,N2,
,,"every day,daily,day after day",ひにち,日日,N2,
,,"menu,program,schedule",こんだて,献立,N2,
,,fireworks,はなび,花火,N2,
,,back,バック,,N2,
,,"to swell,to expand,to inflate,to bulge",ふくらます,膨らます,N2,
,,"loiteringly,aimless wandering",うろうろ,,N2,
,,"at any rate,anyhow,anyway,in any case",なにしろ,,N2,
,,"police,policeman",じゅんさ,巡査,N2,
,,"be finished,ready,made for,cut out",できあがり,出来上がり,N2,
,,"such and such,What?",なになに,何々,N2,
,,pink,ピンク,,N2,
,,"union,alliance",れんごう,連合,N2,
,,special sale,とくばい,特売,N2,
,,private (establishment),しりつ,私立,N2,
,,band,バンド,,N2,
,,(audio) recording,ろくおん,録音,N2,
,,lecture cancelled,きゅうこう,休講,N2,
,,ribbon,リボン,,N2,
,,wool,ようもう,羊毛,N2,
,,a shop,ショップ,,N2,
,,stewardess,スチュワーデス,,N2,
,,"friction,rubbing,rubdown,chafe",まさつ,摩擦,N2,
,,Emperor of Japan,てんのう,天皇,N2,
,,enlargement,ぞうだい,増大,N2,
,,"merit,efficiency,arms,force",じつりょく,実力,N2,
,,siren,サイレン,,N2,
,,"recruiting,taking applications",ぼしゅう,募集,N2,
,,constantly,たえず,絶えず,N2,
,,waiting room,まちあいしつ,待合室,N2,
,,"launch,lunch",ランチ,,N2,
,,matter of taste,すきずき,好き好き,N2,
,,"considerably,greatly,a lot",だいぶん,大分,N2,
,,self-study,じしゅう,自習,N2,
,,"to ask after (health),to visit",みまう,見舞う,N2,
,,"to turn (a switch) on or off,to twist,to puzzle over",ひねる,捻る,N2,
,,blood transfusion,ゆけつ,輸血,N2,
,,calligraphy,しょどう,書道,N2,
,,"amateur,novice",しろうと,素人,N2,
,,nursing (a patient),かんびょう,看病,N2,
,,"one thing or another,this and that,this or that",あれこれ,,N2,
,,"study subject,course of study",がっか,学科,N2,
,,true adjective,けいようし,形容詞,N2,
,,distribution,ぶんぷ,分布,N2,
,,"transparency,cleanness",とうめい,透明,N2,
,,bookshop,しょてん,書店,N2,
,,"course,curriculum",かてい,課程,N2,
,,toast (drink),かんぱい,乾杯,N2,
,,underpants,パンツ,,N2,
,,"to break,to be broken",くだける,砕ける,N2,
,,"old book,classics,classic",こてん,古典,N2,
,,radical (of a kanji character),ぶしゅ,部首,N2,
,,famine,ききん,飢饉,N2,
,,"production,literary creation,work",そうさく,創作,N2,
,,gravity,じゅうりょく,重力,N2,
,,number,ナンバー,,N2,
,,"having some knowledge of,happening to know",こころあたり,心当たり,N2,
,,"parts,accessories",ぶひん,部品,N2,
,,"to parch,to fry",いる,煎る,N2,
,,business card,めいし,名刺,N2,
,,"riddle,puzzle,enigma",なぞなぞ,謎謎,N2,
,,cement,セメント,,N2,
,,sales,うれゆき,売行き,N2,
,,being on duty,とうばん,当番,N2,
,,"wrapping cloth,cloth wrapper",ふろしき,風呂敷,N2,
,,good-bye,さようなら,,N2,
,,"request,demand,claim,urge (action),press for",さいそく,催促,N2,
,,Orient,とうよう,東洋,N2,
,,"quiet,calm,leisurely",ゆうゆう,悠々,N2,
,,"to project,to reflect,to cast (shadow)",うつす,映す,N2,
,,suddenly,どっと,,N2,
,,temperate zone,おんたい,温帯,N2,
,,"to undertake,to take up,to take over",ひきうける,引受る,N2,
,,electro-magnetic wave,でんぱ,電波,N2,
,,first 10 days of the month,しょじゅん,初旬,N2,
,,"inaccessible place,sharp eyes",けわしい,険しい,N2,
,,steadily,ちゃくちゃく,着々,N2,
,,pure white,まっしろ,真っ白,N2,
,,litre,リットル,,N2,
,,day before yesterday,いっさくじつ,一昨日,N2,
,,"showy,loud,gay,flashy,gaudy",はで,派手,N2,
,,maid,おてつだいさん,お手伝いさん,N2,
,,"dear,desired,missed",なつかしい,懐かしい,N2,
,,"in the middle,half-way",ちゅうと,中途,N2,
,,(gram) subject,しゅご,主語,N2,
,,"round,circular,spherical",まるい,円い,N2,
,,"to be wavy,to be curled",ちぢれる,縮れる,N2,
,,"with trouble,at great pains,long-awaited",せっかく,折角,N2,
,,"meeting,reception",でむかえ,出迎え,N2,
,,"before,ahead,previously",おさきに,,N2,
,,"common,commonplace,ordinary,mediocre",へいぼん,平凡,N2,
,,"to get between,to be caught in",はさまる,挟まる,N2,
,,"to become domesticated,to become tame",なれる,馴れる,N2,
,,shutter,シャッター,,N2,
